Date,Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD,Price_WTI,Price_Brent_Oil,Price_Dubai_Brent_Oil,Price_ExxonMobil,Price_NTPC,Price_Shenhua,tempmax_RB,tempmin_RB,temp_RB,dew_RB,humidity_RB,precip_RB,preciptype_RB,windspeed_RB,tempmax_Limpopo,tempmin_Limpopo,temp_Limpopo,dew_Limpopo,humidity_Limpopo,precip_Limpopo,preciptype_Limpopo,windspeed_Limpopo
7/28/2020,32.56,40.01,49.17,53.33,50.61,41.04,43.22,43.28,43.55,88.55,13.12,38,12.8,19.2,13.3,70.5,0.001,rain,25.9,16,5.9,10.9,4.7,67.7,0,,14.8
7/29/2020,32.56,40.01,49.17,53.33,50.61,41.27,43.75,43.29,44.03,88.15,13.1,24.9,13.1,18.1,13.2,75.2,0,,16.6,20,3.7,11.6,2,56.6,0,,11.2
7/30/2020,32.56,40.01,49.17,53.33,50.61,39.92,42.94,43.28,41.87,86.6,12.88,22.2,11.8,17.4,14.3,82.8,0.2,rain,18.3,21,5,13.5,-1.3,40.6,0,,16.6
7/31/2020,32.07,39.97,48.83,52.12,49.7,40.27,43.3,42.54,42.08,87,12.92,37,12.4,19,14.9,78.2,0.6,rain,16.6,20,6,12.7,3.1,54,0,,18.4
8/3/2020,32.07,39.97,48.83,52.12,49.7,41.01,44.15,43.39,42.25,85.6,13,32,15.3,21.2,13.5,63.7,0,,38.9,22,6,13.2,2.4,53.2,0,,11.2
8/4/2020,32.07,39.97,48.83,52.12,49.7,41.7,44.43,43.4,43.47,85.6,13.02,33.9,16.1,21.2,13.4,64.2,0.1,rain,33.5,23.8,5,14.1,-0.7,42.9,0,,12.1
8/5/2020,32.07,39.97,48.83,52.12,49.7,42.19,45.17,43.88,43.85,85.9,13.1,19.6,14.3,17.8,15.1,84.4,14.541,rain,25.6,22.1,4,13.6,0.6,44.5,0,,20.5
8/6/2020,32.07,39.97,48.83,52.12,49.7,41.95,45.09,43.61,43.64,86.15,12.9,38,13.5,18.4,14.7,79.7,0.398,rain,43.2,23,6,14.5,3.8,54.6,0,,17.5
8/7/2020,33.21,41.52,50.12,54.02,51.84,41.22,44.4,43.33,43.44,85.8,12.8,20.1,10.3,16,10.4,70.5,15.668,rain,29.9,17,9,12.2,4.8,61.5,0,,25.9
8/10/2020,33.21,41.52,50.12,54.02,51.84,41.94,44.99,43.78,44.51,88.2,12.6,40.3,10.7,19.1,12.3,66.8,0,,30.5,26,8.1,17.2,0.5,36.3,0,,14.8
8/11/2020,33.21,41.52,50.12,54.02,51.84,41.61,44.5,43.38,44.97,88.25,12.72,40,11,19.9,13.1,67,0,,27.4,22.1,7,14.2,3.3,50.9,0,,14.8
8/12/2020,33.21,41.52,50.12,54.02,51.84,42.67,45.43,43.97,44.09,88.7,13,41.9,14.6,19.5,15.8,79.5,0,,29.2,27,6,16.8,0.8,41.2,0,,13
8/13/2020,33.21,41.52,50.12,54.02,51.84,42.24,44.96,43.59,43.01,87.25,13.02,22.6,12.8,18.4,13.4,74.1,0.198,rain,27,27,9.1,17.9,-5.1,24.8,0,,18.4
8/14/2020,32.24,41.5,49.83,54.21,53.43,42.01,44.8,43.39,43.2,88.4,12.86,33,15,19.9,13.6,68.3,0.001,rain,25.8,18.8,5,12.2,3.4,55.7,0,,20.5
8/17/2020,32.24,41.5,49.83,54.21,53.43,42.89,45.37,43.78,42.64,95.3,13.02,19.6,13.3,17.2,10.8,66.4,0.3,rain,34.6,16,10.9,13.3,8.9,75.2,0,,30.6
8/18/2020,32.24,41.5,49.83,54.21,53.43,42.89,45.46,43.96,42.43,95.05,12.84,22.6,13.1,18.3,11.2,64,0.2,rain,32,24,10,16.5,7.2,59.4,0,,24.1
8/19/2020,32.24,41.5,49.83,54.21,53.43,42.93,45.37,43.96,41.96,94.65,12.84,33.9,8.5,16.9,8.2,58.1,0.2,rain,42.5,18,5,11.5,-5.1,31.5,0,,27.7
8/20/2020,32.24,41.5,49.83,54.21,53.43,42.58,44.9,43.78,41.32,101.1,12.58,32,11.8,18.1,11.1,66.4,0.003,rain,37.1,14,8,11.1,2.5,56.1,0,,26.7
8/21/2020,34,44.09,51.33,56.36,54.22,42.34,44.35,43.69,41.01,105.95,12.58,21.5,11.6,17.2,12.2,73.7,1.186,rain,20.4,19.8,9,13.4,6.5,64.5,0,,31.7
8/24/2020,34,44.09,51.33,56.36,54.22,42.62,45.13,43.91,42.22,105.4,12.52,23,15.7,19.1,15.3,78.9,0.001,rain,18.3,25,7,16.4,0.3,37.2,0,,13
8/25/2020,34,44.09,51.33,56.36,54.22,43.35,45.86,44,40.88,103.8,12.6,25.3,15.3,20.8,15.4,72.2,0,,24.8,28,8,18.3,-1,30.9,0,,11.2
8/26/2020,34,44.09,51.33,56.36,54.22,43.39,45.64,43.96,40.01,102.8,12.6,22.8,16.4,20.2,13.6,66.2,0.4,rain,41.4,30,9,19.6,2.1,36.7,0,,25.7
8/27/2020,34,44.09,51.33,56.36,54.22,43.04,45.09,43.96,39.74,102.6,12.6,30,13.6,19.1,13,68.7,1.6,rain,51.8,20,8.9,14.1,7.8,66.7,0,,22.3
8/28/2020,33.42,44.2,51.22,55.91,55.28,42.97,45.05,43.94,40.69,101.55,12.58,27,16.5,20.3,15.2,73.3,0.125,rain,37.1,28,9,18.8,7.7,54.8,0,,20.5
8/31/2020,,,,55.91,,42.61,45.28,43.99,39.94,96.4,12.94,17.7,11.6,15.6,10.6,72.1,28.076,rain,19.4,14.1,8.8,12.2,8.3,77.6,0.3,rain,20.5
9/1/2020,33.42,44.2,51.22,55.91,55.28,42.76,45.58,44.85,39.43,99.8,13.1,17.5,13.3,16.5,13,80.4,4.551,rain,13.7,16.7,9.5,13,7.5,70.5,1.6,rain,24.1
9/2/2020,33.42,44.2,51.22,55.91,55.28,41.51,44.43,43.83,39.19,98.95,13.02,33.9,13,18.7,13.1,70.7,0.02,rain,28.4,13,10,11.7,8.3,79.9,0,,29.5
9/3/2020,33.42,44.2,51.22,55.91,55.28,41.37,44.07,43.61,39.11,97.7,13.18,25.5,17.1,20.6,14.2,67.7,0.002,rain,28.8,22.8,9.9,15.5,8.8,66.8,0,,11.2
9/4/2020,34.32,45.09,52.71,57.13,56,39.77,42.66,42.61,39.08,94.7,13.36,25.4,16.3,20.7,15.1,71.3,0,,28.4,24,9,15.8,8.7,65.3,0,,21.4
9/7/2020,34.32,45.09,52.71,57.13,56,39.2,42.01,,,92.4,13.08,26.3,15.1,20.9,14.5,68.6,0,,24.5,23,5,14.1,5,58.4,0,,11.2
9/8/2020,34.32,45.09,52.71,57.13,56,36.76,39.78,40.2,38.18,90.65,13.4,24.6,15.3,20.6,15.8,75.2,0,,25.2,25,9,16.6,7.1,56.3,0,,24.1
9/9/2020,34.32,45.09,52.71,57.13,56,38.05,40.79,40.78,37.95,90.4,13.24,25.7,17.4,21.1,15.5,72.6,0,,25.9,25,8,16.2,7.4,59.7,0,,18.4
9/10/2020,34.32,45.09,52.71,57.13,56,37.3,40.06,40.25,37,90.55,13.08,22.6,18.1,20.1,16.9,81.9,0.6,rain,23,26,9,17.1,6.6,52.3,0,,23.9
9/11/2020,33.14,43.56,51.58,55.72,55.52,37.33,39.83,40.24,36.9,90.1,13.18,23.6,17.3,20,15.7,77,0,,14.4,24,9,16.5,4.9,49.3,0,,16.6
9/14/2020,33.14,43.56,51.58,55.72,55.52,37.26,39.61,40.15,36.66,90.85,13.26,33,17.6,21.2,16.2,73.7,0.3,rain,28.8,28,11,19.6,3.4,38.9,0,,14.6
9/15/2020,33.14,43.56,51.58,55.72,55.52,38.28,40.53,40.69,36.27,91.1,13.34,33.9,15.8,18.9,15,78.8,8.007,rain,16.9,31.6,10,21.3,5.3,39.8,0,,29.3
9/16/2020,33.14,43.56,51.58,55.72,55.52,40.16,42.22,41.58,37.81,89.65,13.26,35,15.8,21.7,17.1,76.7,0.004,rain,28.8,29,16,21.1,10.8,57.2,0.052,rain,25.9
9/17/2020,33.14,43.56,51.58,55.72,55.52,40.97,43.3,42.02,37.8,88.65,13.4,22.6,15.8,19.7,14.2,71.2,0.1,rain,29.5,27,14,20,11.7,60.7,0.101,rain,29.5
9/18/2020,34.18,45.13,53.19,56.18,55.66,41.11,43.15,42.01,37.19,90.55,13.66,29.1,13.4,21.7,16,71.8,0.002,rain,25.9,26,14,19.4,12.6,67.5,0.266,rain,18.4
9/21/2020,34.18,45.13,53.19,56.18,55.66,39.31,41.44,41.41,36.43,88.3,13.78,31,16.6,19,14.3,74.4,6.955,rain,33.1,31.1,15.2,22,5.6,39.1,0,,25
9/22/2020,34.18,45.13,53.19,56.18,55.66,39.6,41.72,41.5,35.53,87.7,13.84,33.9,14.3,18.6,13.3,72,2.964,rain,22.3,18,12,13.9,8.1,68.5,0,,27.7
9/23/2020,34.18,45.13,53.19,56.18,55.66,39.93,41.77,41.49,34.39,85.1,13.72,33.9,13.3,20.9,14.3,67.8,0,,33.5,23,8,15.5,7.6,62.3,0,,18.2
9/24/2020,34.18,45.13,53.19,56.18,55.66,40.31,41.94,41.56,34.32,82.65,13.48,35,16.3,23.3,15.8,64.1,0,,27.7,28,11,19.3,6.7,47.4,0,,18.4
